Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Europe & Central Asia;ECS;8,8394E+12;9,11985E+12;9,7818E+12;8,98961E+12;9,40228E+12;1,08452E+13;1,10727E+13;1,05063E+13;1,07659E+13;1,06431E+13;1,00253E+13;1,01225E+13;1,1074E+13;1,3489E+13;1,57226E+13;1,67478E+13;1,81281E+13;2,11788E+13;2,3242E+13;2,04432E+13;2,09247E+13;2,31826E+13;2,23407E+13;2,33492E+13;2,36547E+13;2,03646E+13;2,02738E+13
Ecuador;ECU;15239278100;16988535268;18094238119;18938717359;22708673337;24432884442;25226393197;28162053027;27981896948;19645272636;18327764882;24468324000;28548945000;32432859000;36591661000;41507085000;46802044000;51007777000;61762635000;62519686000;69555367000;79276664000;87924544000;95129659000;1,01726E+11;99290381000;98613972000
Egypt, Arab Rep.;EGY;43130416913;36970555899;41855986519;46578631453;51897983393;60159245060;67629716981;78436578171;84828807556;90710704807;99838543960;97632008710;87850683979;82924503943;78845185293;89685725230;1,07484E+11;1,30479E+11;1,62818E+11;1,88982E+11;2,18888E+11;2,36002E+11;2,79373E+11;2,88586E+11;3,0553E+11;3,32698E+11;3,32791E+11
Euro area;EMU;5,8721E+12;6,10496E+12;6,73538E+12;6,16913E+12;6,51601E+12;7,5207E+12;7,61227E+12;6,95996E+12;7,15157E+12;7,11959E+12;6,48733E+12;6,59363E+12;7,17401E+12;8,85157E+12;1,01529E+13;1,05366E+13;1,1186E+13;1,28795E+13;1,41182E+13;1,29086E+13;1,26453E+13;1,36233E+13;1,26395E+13;1,31908E+13;1,34765E+13;1,16619E+13;1,19341E+13
Eritrea;ERI;;;477101652;467872715;531688312;578015625;693535954;686490090;745526155;688921326;706370816;752368496;729321367;870247703;1109054005;1098425901;1211161880;1317974491;1380188800;1856695551;2117039512;2607739837;;;;;
Spain;ESP;5,35101E+11;5,75599E+11;6,29202E+11;5,23649E+11;5,29122E+11;6,1294E+11;6,40998E+11;5,88692E+11;6,17042E+11;6,33194E+11;5,95403E+11;6,25976E+11;7,05146E+11;9,06853E+11;1,06956E+12;1,15728E+12;1,26455E+12;1,47934E+12;1,63502E+12;1,4991E+12;1,43162E+12;1,48807E+12;1,33602E+12;1,36185E+12;1,37691E+12;1,19779E+12;1,23726E+12
Estonia;EST;;;;;;4373665146;4746109767;5066240419;5617109245;5726897998;5685774809;6245069734;7322069511;9833870709;12059201242;14006088297;16963625016;22237061730;24194039256;19652492637;19490936349;23170239901;23043864510;25137153149;26224622451;22566956982;23337907619
Ethiopia;ETH;12175166763;13463868357;10492993078;8830712714;6927950565;7663984568;8547939731;8589211390;7818224906;7700833482;8242392104;8231326016;7850809498;8623691300;10131187261;12401139454;15280861835;19707616773;27066912635;32437389116;29933790334;31952763089;43310721414;47648211133;55612228234;64464547915;72374224249
European Union;EUU;7,57912E+12;7,86571E+12;8,57112E+12;7,81548E+12;8,29916E+12;9,62642E+12;9,84135E+12;9,28952E+12;9,60557E+12;9,59085E+12;8,91244E+12;9,00986E+12;9,82271E+12;1,19572E+13;1,38067E+13;1,44412E+13;1,54054E+13;1,77958E+13;1,91367E+13;1,71015E+13;1,69927E+13;1,83526E+13;1,72902E+13;1,80269E+13;1,86324E+13;1,64107E+13;1,64873E+13
Fragile and conflict affected situations;FCS;;;;;;;;;;;2,16612E+11;1,99205E+11;1,94032E+11;2,20476E+11;2,54384E+11;3,08822E+11;3,64922E+11;4,48717E+11;5,79391E+11;5,39488E+11;6,43371E+11;7,00476E+11;7,56983E+11;8,10325E+11;8,52106E+11;7,70044E+11;7,44251E+11
Finland;FIN;1,41518E+11;1,27866E+11;1,12625E+11;89255751015;1,03322E+11;1,34199E+11;1,32099E+11;1,26833E+11;1,33936E+11;1,35226E+11;1,2554E+11;1,2925E+11;1,39553E+11;1,71071E+11;1,96768E+11;2,04436E+11;2,16553E+11;2,55385E+11;2,83742E+11;2,51499E+11;2,478E+11;2,73674E+11;2,56706E+11;2,6998E+11;2,72609E+11;2,32439E+11;2,38503E+11
Fiji;FJI;1337024782;1383843860;1531803061;1635426125;1825285158;1970347721;2129266728;2093994597;1656784780;1942170999;1684109743;1660102346;1842691481;2315935753;2727507213;3006725015;3102741451;3405050612;3523185920;2870624636;3140508836;3774530616;3972012571;4190143206;4469573275;4391113415;4703632978
France;FRA;1,2753E+12;1,27556E+12;1,40872E+12;1,33009E+12;1,40164E+12;1,60989E+12;1,61425E+12;1,46071E+12;1,51076E+12;1,50028E+12;1,36844E+12;1,38222E+12;1,50034E+12;1,84812E+12;2,12411E+12;2,20368E+12;2,32501E+12;2,66311E+12;2,92347E+12;2,69383E+12;2,64684E+12;2,86268E+12;2,68142E+12;2,80851E+12;2,84931E+12;2,43356E+12;2,46545E+12
Faroe Islands;FRO;;;;;;;;;1105688873;1125684470;1062339944;1154899793;1268445919;1486861879;1683997930;1730894295;1970135199;2278229880;2413251996;2257083699;2301168187;2468754075;2356495468;2613464380;2810547884;2476746087;
Micronesia, Fed. Sts.;FSM;147200000;166200000;178100000;198400000;202500000;222103600;218845700;206900300;219646200;220660500;233226300;240051900;241543400;245277400;240097000;250149400;253372300;256548100;262868600;279966700;296525300;310502100;326128700;316040600;317999400;315179700;329895600
